t0,t1
-17.127161,-16.717966
-4.481908,-4.4488015
-92.52725,-94.95567
4.1327724,4.2181892
-4.4488125,-4.497086
-17.284359,-17.218645
-6.25194,-6.209739
-8.963342,-9.150858
-67.49486,-67.93837
-35.385372,-34.417175
0.058578674,-0.56262386
3.9761872,2.4987981
-10.21062,-10.574532
-31.399378,-31.48908
-23.005882,-24.25403
-47.047283,-46.559334
-9.663724,-10.519428
6.158265,5.2303176
8.053964,7.861285
-26.495512,-26.23809
0.8217396,0.86102283
-30.447641,-29.746386
4.990038,5.1769686
-28.69469,-30.398962
-62.26092,-60.438435
-52.734947,-51.715736
-25.11556,-25.17093
-16.337362,-16.303709
-96.81116,-94.35173
-4.7278733,-4.793135
-8.686711,-8.801309
-28.76447,-26.704573
-43.96613,-42.27583
-8.429352,-7.8491774
-24.060686,-22.412025
-12.331637,-13.942245
-51.59908,-54.199482
-7.2156787,-6.994062
-26.165518,-24.82723
-13.970978,-14.231661
-1.880603,-2.5063941
-12.195737,-15.98435
-21.402786,-22.424017
3.6222618,3.2645576
-69.812454,-68.80278
-0.3725878,-0.73930234
-1.8813876,-2.4685981
-13.944821,-13.408518
-5.9230585,-5.882791
0.97339165,0.8958124
-28.732431,-30.320995
-4.64845,-4.6149235
-52.635754,-53.3653
-14.012225,-13.642819
-16.224733,-16.147995
-7.2852364,-7.125178
-7.544071,-7.093891
-20.107576,-19.086689
-134.04837,-130.15388
-23.351324,-21.970076
-17.717285,-17.789812
-50.696304,-48.88782
5.491551,5.098836
3.5399292,3.1761541
-2.3287134,-2.236196
1.7436733,-0.5067469
-0.036062684,-0.6347352
-4.0906186,-4.051043
-11.622567,-11.309336
-3.6540709,-3.6150188
-18.13085,-17.378128
-15.37984,-14.76424
-7.044943,-6.487086
2.4278796,2.495521
-0.9093044,-1.0870539
1.5118902,0.6056061
-5.333226,-5.2091513
-7.0660825,-6.679876
-35.417957,-33.25289
-26.20854,-23.172243
-11.54988,-11.874037
-20.12516,-19.114462
-11.420753,-11.411583
10.127022,9.274666
-27.932516,-28.031525
-54.16702,-51.075745
-12.899127,-11.777441
-4.428014,-4.9153924
-10.332628,-10.317723
5.177822,4.569124
-22.108198,-25.676699
-7.684825,-7.42263
-20.460066,-19.112175
15.931678,14.448939
-9.214782,-9.219442
-7.965628,-8.116678
-35.099354,-36.450554
17.170538,15.576849
1.0140833,0.5784462
-8.098012,-7.7623057
-35.2811,-34.24327
-84.0717,-103.22615
-7.8347807,-7.581062
-15.019124,-15.352055
-16.45524,-15.257363
-0.19867828,0.11853497
-20.951704,-18.265825
-8.420791,-8.216503
-15.855397,-15.553366
-21.18918,-20.78529
-8.285827,-7.8745904
-110.64058,-108.55699
4.4213276,3.5663612
-10.677914,-10.571245
-10.824304,-10.59937
-32.30754,-32.51497
9.850065,8.103299
10.850493,9.870392
-14.650807,-14.52875
1.0366168,0.78522
-12.149526,-12.127108
-6.0704775,-5.775312
-41.11851,-47.084423
-22.133781,-20.55861
16.468369,14.962343
-4.931038,-4.6779222
-7.641016,-8.1921015
-21.041502,-22.096302
-19.491634,-19.093643
-6.8888674,-9.790273
12.795022,9.313837
-8.841035,-8.968457
-43.08918,-42.64214
-9.098866,-9.01141
-11.759131,-11.0594015
-14.194545,-13.72599
2.1601822,2.0395944
-4.493206,-5.0034485
-4.879244,-4.067307
-12.422742,-12.505603
-23.413729,-22.123117
1.0998782,1.2483939
-7.965806,-10.151308
-2.5648477,-3.1388493
-0.23568055,-0.41409042
4.282058,3.1726089
-2.9394438,-2.6852942
-25.388811,-25.60116
-14.921618,-15.035233
-40.51559,-38.943398
-15.628765,-15.286747
-16.3915,-16.465021
-3.9473014,-6.803444
-2.6029954,-2.756785
2.10018,2.0765471
-10.568551,-10.734411
-8.945138,-8.456674
3.9620802,3.7994602
-21.648315,-19.34688
-33.370945,-31.815102
-95.045616,-94.81064
-13.219308,-12.588631
-27.30593,-26.93178
7.8704433,6.912289
-15.2795315,-16.937994
-37.505474,-35.95778
9.535989,8.821896
-13.887474,-13.58772
12.938086,12.220959
-18.635527,-18.347317
-21.36051,-25.934464
-6.4660883,-6.2591205
-4.02829,-4.412343
-3.1127634,-2.794837
-36.788013,-35.62941
4.4079304,2.8445113
-35.97592,-34.9793
-60.329304,-59.66114
-17.1307,-17.81329
6.359236,6.0282173
-19.05179,-18.72949
0.8979473,0.33760193
-9.906147,-10.929506
-69.94423,-78.24268
-25.501118,-25.106115
-7.4086795,-7.3172603
-22.109852,-21.510881
-43.66927,-42.271683
-10.0881,-9.033374
